"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),성장 발달을 위해,질병치료를 위해,학습능력 개선을 위해,질병예방을 위해,미용효과(피부건강 체중조절 등)를 위해,피로회복을 위해,건강(체력)증진을 위해,성장 발달을 위해,질병치료를 위해,학습능력 개선을 위해,질병예방을 위해,미용효과(피부건강 체중조절 등)를 위해,피로회복을 위해,건강(체력)증진을 위해,성장 발달을 위해,질병치료를 위해,학습능력 개선을 위해,질병예방을 위해,미용효과(피부건강 체중조절 등)를 위해,피로회복을 위해,건강(체력)증진을 위해
"전체",소계,8.8,11.6,4.2,46.5,21.9,67.0,64.9,5.9,4.8,4.1,43.1,20.6,65.5,70.7,6.4,11.4,3.6,53.9,21.9,62.1,68.3
"거주지역별",수도권,9.4,8.0,4.1,43.9,25.3,70.5,66.9,5.7,1.4,4.0,33.9,23.0,64.6,71.7,8.4,8.8,4.3,54.4,25.1,63.5,68.8
"거주지역별",충청권,0.7,10.4,2.8,39.3,14.8,71.0,74.1,1.9,1.1,0.5,48.9,21.0,67.3,70.1,3.9,2.3,0.6,47.7,15.2,74.6,71.6
"거주지역별",호남권,10.4,28.2,6.6,54.2,16.1,51.9,46.6,5.6,7.9,5.2,40.6,16.7,71.5,71.8,2.1,14.5,1.9,50.8,20.5,64.2,71.5
"거주지역별",대경권,9.4,8.5,6.9,62.5,23.8,62.8,70.1,12.5,6.0,3.0,53.3,12.6,53.5,71.9,5.5,21.2,2.1,43.8,8.4,39.1,71.9
"거주지역별",동남권,11.1,13.7,2.8,48.8,19.1,67.1,61.6,6.6,14.8,6.2,62.9,19.8,66.2,64.3,3.7,18.2,4.9,57.9,23.4,65.3,61.0
"거주지역별",강원권,4.5,15.5,0.4,26.1,13.7,62.3,71.2,2.4,0.0,5.1,39.3,22.6,75.3,86.2,5.6,18.1,3.4,70.8,10.2,33.9,70.1
"행정구역별",동,9.0,10.6,4.2,46.4,22.6,68.2,65.9,4.8,5.7,4.3,43.0,20.1,66.5,70.1,6.4,11.0,4.0,55.0,22.1,60.8,67.1
"행정구역별",읍면,7.3,17.7,4.2,46.7,17.5,59.9,58.7,9.7,1.8,3.4,43.3,22.5,62.0,72.8,6.3,13.8,1.6,47.5,20.5,69.6,75.6
"가구원수별",1인,1.0,11.8,1.5,44.7,32.0,62.7,58.1,3.1,4.1,2.3,40.6,27.1,60.3,66.5,0.7,11.9,1.8,48.3,21.2,56.3,71.6
"가구원수별",2인,2.1,12.5,2.2,47.4,19.2,64.6,65.2,0.8,6.2,2.0,46.8,18.5,66.5,73.1,2.3,12.3,2.5,56.3,17.6,63.4,70.6
"가구원수별",3인,11.3,9.2,3.9,44.6,24.7,72.7,66.1,8.3,5.0,5.7,41.8,20.0,65.5,70.7,11.4,11.0,5.0,54.3,32.3,63.2,64.2
"가구원수별",4인 이상,21.5,12.6,9.4,48.5,15.0,67.8,68.6,14.9,2.7,7.6,39.2,20.5,67.5,69.0,13.5,9.8,5.7,53.0,17.3,62.6,66.1
"가구주성별",남성,8.3,11.1,4.8,48.0,16.9,66.0,67.5,5.8,4.8,4.0,42.9,18.0,66.7,71.9,7.5,10.5,2.9,54.8,21.2,62.7,68.9
"가구주성별",여성,9.7,12.6,3.0,43.4,32.0,68.9,59.7,5.9,5.2,4.4,43.8,30.4,61.1,66.3,2.8,14.5,6.0,51.0,24.3,59.9,66.4
"가구주연령별",20대,6.9,9.2,3.2,41.4,25.7,58.3,48.4,7.4,5.6,0.0,35.3,41.2,72.6,67.5,4.9,7.6,2.9,49.8,33.2,56.5,60.5
"가구주연령별",30대,12.9,4.1,0.7,36.1,34.7,72.4,63.3,7.0,0.3,2.7,38.7,38.4,69.8,72.3,12.2,7.7,3.7,46.8,28.4,63.4,70.3
"가구주연령별",40대,21.2,12.9,10.8,43.0,24.0,72.3,61.5,11.5,0.5,6.7,40.1,21.4,64.4,67.9,15.8,9.9,5.2,55.1,25.9,64.9,68.0
"가구주연령별",50대,4.8,11.1,4.0,50.0,19.9,67.1,67.0,7.3,5.2,5.4,42.0,23.3,65.1,70.5,3.6,8.3,4.8,51.1,22.4,66.9,66.8
"가구주연령별",60대 이상,1.3,15.5,1.7,52.1,14.8,61.1,68.2,1.5,8.1,2.3,47.0,11.3,64.7,71.8,2.0,15.7,2.1,57.7,17.1,57.1,69.3
"가구주최종학력별",중졸 이하,1.9,17.1,3.7,44.2,5.8,50.3,63.3,1.2,11.8,2.5,56.3,7.0,51.8,76.9,1.3,30.0,1.2,54.2,11.0,40.2,74.4
"가구주최종학력별",고졸,3.9,15.2,1.9,50.1,16.6,63.8,63.5,3.7,5.9,3.3,40.8,16.0,64.4,70.9,3.3,11.0,2.9,53.5,19.7,59.7,69.4
"가구주최종학력별",전문대졸 이상,12.6,8.8,5.8,44.1,26.7,70.4,66.0,8.1,3.3,5.0,43.7,25.7,67.7,69.9,9.2,10.4,4.4,54.2,24.5,65.5,67.1
"가구주직업별",관리/전문/사무직,12.5,8.4,5.6,44.7,26.5,69.7,65.0,7.5,2.6,4.0,40.9,27.6,68.8,71.0,9.6,8.8,4.2,53.8,26.6,62.8,66.3
"가구주직업별",서비스/판매직,5.5,13.0,3.3,45.6,20.3,65.1,60.0,6.0,4.8,3.6,43.1,18.7,64.5,70.9,3.9,10.4,3.4,51.1,21.2,65.2,69.8
"가구주직업별",기계/농림어업/단순노무,7.3,13.6,3.4,47.3,16.2,64.9,72.0,3.7,7.5,4.7,44.1,13.9,64.1,70.7,5.7,14.6,3.5,56.6,17.7,59.5,69.2
"가구주직업별",기타,6.6,16.6,2.7,54.4,20.5,66.0,62.8,3.5,13.5,7.3,58.1,10.3,42.7,72.0,3.6,28.5,3.4,58.0,9.1,48.2,74.1
"월평균가구소득별",200만원 미만,3.7,18.2,1.2,47.8,13.3,54.1,58.7,3.0,6.3,2.0,45.3,14.0,58.0,71.4,1.4,24.0,1.2,55.4,9.0,56.0,75.8
"월평균가구소득별",200~400만원 미만,6.7,11.4,3.0,44.3,24.8,62.9,61.1,4.8,5.7,4.0,42.1,21.5,63.0,68.4,2.3,11.0,1.8,55.2,15.0,57.2,68.4
"월평균가구소득별",400~600만원 미만,9.9,9.3,4.0,47.1,19.7,70.9,69.0,8.6,5.0,3.2,41.5,19.1,69.1,69.0,8.6,12.7,3.8,50.2,19.5,65.5,69.7
"월평균가구소득별",600만원 이상,13.0,13.7,8.5,48.7,24.7,72.9,66.8,4.5,2.9,6.7,45.5,25.1,66.8,75.6,8.3,8.9,5.5,56.9,33.2,63.5,65.7
